Id,Label,name,description,ebcU,fgcU,wtc4U,wtc5U,wtc6U,sgcU,infU,louU,optU,eigU,ebcW,fgcW,wtc4W,wtc5W,wtc6W,sgcW,infW,louW,optW,eigW,ebcUcolor,fgcUcolor,wtc4Ucolor,wtc5Ucolor,wtc6Ucolor,sgcUcolor,infUcolor,louUcolor,optUcolor,eigUcolor,ebcWcolor,fgcWcolor,wtc4Wcolor,wtc5Wcolor,wtc6Wcolor,sgcWcolor,infWcolor,louWcolor,optWcolor,eigWcolor
10.0,Montfermeuil coachman,CF,Montfermeuil coachman,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#71CF9F,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#71CF9F,#71CF9F,#71CF9F
11.0,Javert,JA,"Javert, police officer",2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,6.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#7DA5E0,#CE84B6,#DA73CF,#DA73CF,#83D64E,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#DA73CF,#DA73CF,#83D64E
12.0,Fauchelevent,FF,"Fauchelevent, failed notary turned carter in M-sur-M",4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF
13.0,Gavroche,GA,"Gavroche, son of the Thénardiers",3.0,3.0,3.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,3.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#DA73CF,#A8C567,#7DA5E0,#E47E64,#E47E64,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#7DA5E0,#A8C567,#7DA5E0,#E47E64,#E47E64
14.0,Mme Thénardier,TM,"Madame Thénardier, wife of Thénardier",3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#71CF9F,#CE84B6,#E47E64,#7DA5E0,#7DA5E0,#DE9159,#DE9159,#DE9257,#99D05F,#99D05F,#DA73CF,#CE84B6,#E47E64,#7DA5E0,#7DA5E0
15.0,Louis-Philippe,LP,"Louis-Philippe d'Orléans, King of France",2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#CDBA54,#CDBA54,#CDBA54,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#71CF9F,#CE84B6,#CDBA54,#CDBA54,#CDBA54
16.0,"Landlady, Gorbeau",LL,Landlady at Gorbeau House (during JVJ's stay),2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#83D64E,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#71CF9F,#71CF9F,#83D64E
17.0,Toll keeper,KA,Toll keeper at Austerlitz bridge,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#71CF9F,#71CF9F,#71CF9F,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#E47E64,#CE84B6,#71CF9F,#71CF9F,#71CF9F
18.0,Soldiers,SO,"Soldiers pursuing Valjean, led by Javert",2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,6.0,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#7DA5E0,#CE84B6,#DA73CF,#DA73CF,#83D64E,#65C3CC,#CF7BCE,#C088D1,#CF7BCE,#CF7BCE,#CDBA54,#CE84B6,#DA73CF,#DA73CF,#83D64E
19.0,Mother Innocent,MI,"Mother Innocent, prioress of Convent of Petit Picpus",4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF
20.0,Gribier,GR,"Gribier, new gravedigger at Vaugirard cemetery",4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,6.0,5.0,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF,#99D05F,#65C3CC,#91D071,#65C3CC,#65C3CC,#83D64E,#CE84B6,#83D64E,#83D64E,#DA73CF
