Id,Label,name,description,group,color
163.0,Marius's servant,SR,Servant to Marius at Garbeau tenement,8.0,#64C961
164.0,"Porter, r. de l'Ouest",PS,"Porter, rue de l'Ouest",2.0,#69D19D
165.0,"Guard, La Force",GF,"Guard, La Force prison",7.0,#DDCD43
166.0,Toussaint,TS,"Toussaint, servant of Valjean at Rue Plumet",2.0,#DDCD43
167.0,Younger child,XB,"Younger Child, son of Thénardier, raised by Magnon",15.0,#64E343
168.0,Poor girl,GL,"Poor girl, helped by Gavroche",8.0,#64C961
169.0,Minister's wife,MW,Minister of agriculture's wife,8.0,#CEDF8D
170.0,Secondhand dealer,GS,Secondhand dealer from whom Gavroche 'borrows' a pistol,8.0,#64C961
171.0,Three concierges,TC,"Three concierges, met by Gvaroche",8.0,#64C961
172.0,Old soldier,OS,Old soldier at barbershop,15.0,#64E343
173.0,"Concierge, Verrerie",CW,"Concierge, rue de la Verrerie",8.0,#64C961
174.0,Matelotte,ML,"Matelotte, a servant at the Corinth Inn",8.0,#64C961
175.0,Navet,NA,"Navet, friend of Gavroche",8.0,#64C961
176.0,"Sergeant, Imprimérie",SI,Sergeant at the Imprimérie Royale post,8.0,#64C961
177.0,Anonymous worker,WA,Anonymous worker at barricade,8.0,#64C961
178.0,Sewermen,SW,Sewermen,2.0,#69D19D
179.0,Nicolette,NI,"Nicolette, maid to Gillenormand",13.0,#EC693F
180.0,Concierge's husband,CZ,Husband of Concierge at rue de l'Homme Armé,17.0,#B4DF44
